danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Label
0.545,0.884,5,-4.807,0,0.367,0.29,0,0.37,0.641,86.049,1
0.795,0.545,7,-8.153,1,0.343,0.00396,0,0.273,0.809,91.967,1
0.489,0.871,5,-5.825,1,0.386,0.00285,0.00000372,0.13,0.341,117.431,1
0.539,0.931,4,-1.803,0,0.262,0.000713,0,0.204,0.685,85.571,0
0.918,0.734,11,-2.832,0,0.269,0.0294,0.0000079,0.191,0.608,97.044,1
0.65,0.9,1,-4.099,0,0.374,0.0252,0,0.176,0.659,89.788,1
0.875,0.745,1,-5.878,1,0.269,0.0227,0.00000237,0.287,0.749,95.201,1
0.735,0.612,5,-6.774,1,0.0517,0.289,0.0000412,0.103,0.395,105.056,0
0.391,0.191,7,-25.097,1,0.0517,0.977,0.774,0.118,0.44,99.848,1
0.622,0.931,9,-3.412,0,0.0485,0.168,0,0.301,0.455,128.066,0
0.711,0.292,4,-15.523,0,0.037,0.313,0,0.131,0.194,103.951,1
0.853,0.599,7,-4.756,1,0.0411,0.00334,0.00000793,0.0759,0.843,119.993,0
0.776,0.657,11,-7.651,0,0.033,0.649,0,0.0979,0.722,128.058,0
0.544,0.903,8,-4.705,1,0.443,0.000437,0,0.395,0.443,128.052,0
0.665,0.876,2,-3.068,0,0.0418,0.0114,0,0.271,0.324,128,0
0.641,0.558,2,-7.362,0,0.0287,0.824,0.00000235,0.0856,0.37,127.998,0
0.442,0.943,3,-3.205,1,0.0602,0.00293,0.00000871,0.091,0.781,85.064,1
0.517,0.826,2,-4.877,1,0.0459,0.013,0,0.143,0.536,154.005,0
0.349,0.913,0,-3.603,1,0.0691,0.0303,0.00000806,0.12,0.225,164.005,1
0.721,0.738,2,-5.682,1,0.0649,0.00222,0,0.224,0.375,135.987,1
0.699,0.865,7,-3.42,0,0.0889,0.0351,0.000129,0.215,0.811,126.985,0
0.551,0.561,2,-6.94,1,0.0835,0.37,0.00000101,0.131,0.334,79.922,1
0.263,0.663,9,-8.264,1,0.19,0.589,0.00451,0.342,0.25,167.271,1
0.807,0.571,4,-6.177,1,0.0332,0.00797,0.00028,0.337,0.811,93.008,1
0.611,0.732,9,-4.137,0,0.0347,0.002,0,0.12,0.475,113.451,1
0.599,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,1
0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,1
0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,1
0.458,0.795,0,-3.625,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,1
0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,1
0.346,0.85,0,-4.669,1,0.0426,0.00451,0.000726,0.109,0.159,130.745,1
0.366,0.94,1,-5.199,0,0.0696,0.000769,0.0000942,0.188,0.369,130.198,1
0.562,0.783,11,-4.727,0,0.0428,0.135,0.0000144,0.282,0.391,132.06,0
0.413,0.296,8,-13.904,0,0.0277,0.531,0.801,0.183,0.144,79.273,1
0.711,0.411,9,-6.657,1,0.035,0.594,0,0.0903,0.791,73.997,0
0.566,0.438,0,-7.564,0,0.0367,0.809,0,0.212,0.692,117.127,0
0.764,0.443,4,-6.625,1,0.0439,0.52,0.0000196,0.0749,0.63,139.999,0
0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,0
0.759,0.401,4,-8.999,1,0.259,0.86,0,0.299,0.576,100.126,0
0.731,0.686,11,-5.002,0,0.33,0.0915,0,0.415,0.29,75.54,0
0.777,0.716,11,-5.327,1,0.347,0.294,0,0.665,0.593,95.756,1
0.625,0.719,10,-3.326,0,0.24,0.672,0,0.7,0.524,72.532,0
0.763,0.783,4,-4.601,0,0.222,0.136,0,0.0412,0.529,81.975,0
0.622,0.539,1,4.331,1,0.502,0.242,0,0.107,0.315,173.662,0
0.646,0.796,2,-6.152,1,0.366,0.409,0,0.107,0.676,83.093,0
0.94,0.633,8,-3.56,1,0.0467,0.0581,0.0000404,0.281,0.962,121.003,0
0.558,0.615,1,-5.641,1,0.229,0.0103,0,0.105,0.16,76.673,1
0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,1
0.738,0.674,1,-2.299,1,0.28,0.275,0,0.344,0.575,78.929,1
0.712,0.772,10,-3.024,0,0.346,0.0521,0.00000435,0.0368,0.848,84.722,0
0.646,0.813,6,-3.846,0,0.299,0.349,0.0000937,0.0427,0.895,92.729,0
0.504,0.782,1,-0.3006,1,0.342,0.0506,0,0.0787,0.66,170.606,1
0.788,0.816,5,-2.235,0,0.328,0.238,0,0.326,0.826,125.206,0
0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,0
0.504,0.0869,0,-23.637,1,0.0442,0.993,0.914,0.119,0.223,126.49,0
0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,0
0.863,0.512,0,-6.955,1,0.0363,0.599,0.000137,0.103,0.735,129.045,1
0.545,0.78,7,-4.867,0,0.0436,0.0309,0.0000464,0.0828,0.458,125.015,0
0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,1
0.719,0.804,10,-4.581,1,0.0355,0.0132,0.00000302,0.139,0.605,119.999,0
0.724,0.695,11,-5.226,1,0.0622,0.073,0,0.0889,0.235,139,0
0.706,0.841,7,-3.956,1,0.0418,0.0000795,0,0.0688,0.861,132.032,0
0.531,0.752,1,-6.161,1,0.0305,0.0421,0,0.12,0.103,89.917,0
0.811,0.566,8,-6.033,0,0.517,0.563,0,0.104,0.169,100.22,0
